test_id,mass_offset,damping_offset,friction_coeff,delay_steps,final_error_mm,passed
1,-0.039807056338253405,0.05930103241327239,0.04324452173715087,4,32.23119649231634,0
2,0.006913459036789804,-0.09267055481047107,0.026784960751238887,4,32.24012523658131,0
3,-0.014286182176386664,0.18101108598982413,0.018398939018236495,0,1.125613481195986,1
4,0.016132085577608646,-0.21451672052929327,0.018743316648499386,1,7.2214858424780815,1
5,0.051940649772796665,-0.15852421698542557,0.032087090039780775,2,15.566193538319142,1
6,0.028844029962786566,0.269032729528132,0.016958541058166188,4,32.24320749616512,0
7,0.08386511931961638,-0.2140404756277915,0.044295177588977414,2,15.570424111611384,1
8,-0.039568121348067364,-0.28244451328046666,0.027794342296902908,5,40.57270414191951,0
9,-0.14828316676576142,-0.258454192837352,0.026234649077317485,5,40.5543075901571,0
10,-0.13485265657963524,-0.17731126738231767,0.00728996693966002,4,32.217531597802044,0
11,0.19128831272631414,0.11895949188949473,0.02623798767694814,2,15.582917401440305,1
12,0.16050241381253094,0.10739313516328808,0.026963543251182023,0,1.106474890432647,1
13,-0.19445608715921325,0.14571125787098643,0.02145372234089592,2,15.526688692573831,1
14,0.08163995188742351,0.11103712791886772,0.027004009855751417,4,32.250395420992405,0
15,-0.010604942704964287,0.07489477660085908,0.007162858774152858,5,40.57734912749952,0
16,0.19710167305532228,-0.15639708353643417,0.005485192704858583,4,32.26454656754892,0
17,-0.06624101597085055,-0.12150642688194638,0.0013831005532906173,1,7.2097060890149045,1
18,0.1709899680730949,0.13426547290269691,0.02656565666150682,0,1.1054648565435696,1
19,-0.01798897217970774,-0.05215530608276009,0.030404086809232407,3,23.896236903017897,0
20,0.16589074684378707,-0.12591500415465964,0.04257012607565927,5,40.601048399759065,0
21,0.1390192675599366,0.12764981612564774,0.025391539275344262,0,1.108294140295506,1
22,-0.15372218669526205,-0.10080111732301733,0.04331455687843355,4,32.21365646117793,0
23,-0.07976475979584725,0.06623171521446714,0.012569324286623952,4,32.226390457388746,0
24,0.05481798832792417,-0.004982582154909154,0.0028700952803456473,2,15.566783140981519,1
25,0.023339983028854372,-0.05023463863089106,0.006747330789688727,0,1.1209898221341408,1
26,-0.09498305157602496,-0.2724959091741054,0.016653374287516155,3,23.883890714529915,0
27,-0.12472614476797755,-0.10297702035607884,0.039925320757250284,3,23.879207580090426,0
28,-0.07609788971033607,0.10941480481706312,0.009533011710443618,1,7.208003685205729,1
29,-0.08798500332955728,-0.21834116005395676,0.03597531452106027,5,40.565237376231316,0
30,0.17940040072344593,0.06776659883439656,0.03630757688517866,4,32.26235605343575,0
31,0.05648039906624275,0.18372374935025015,0.007824990810615813,4,32.24723373783752,0
32,-0.00017936895756592852,-0.05245677686449107,0.0356830126681255,4,32.23908503746259,0
33,0.05766674222381829,0.28991314092006365,0.012889710990713699,0,1.116811924879383,1
34,0.16058380298724256,0.02545830493251433,0.01682355097151871,1,7.239219397321439,1
35,0.061238282809811806,-0.026075414783380935,0.008598567303968508,4,32.24770626351679,0
36,0.11758833176724337,-0.08998981189305158,0.003590722487210807,1,7.234781979554184,1
37,-0.19095613054905258,-0.11444873075610174,0.01831989675703747,3,23.86687554898301,0
38,0.04153518219055674,0.29666200708441454,0.008673481027137447,2,15.564944545764172,1
39,0.0018330548919258116,0.2268389401943986,0.04117575947504994,3,23.89935237536286,0
40,0.13825939761596645,-0.23969185505827775,0.04311362102698946,2,15.5770217874642,1
41,-0.049840193977443825,0.2129319222771992,0.02211408534299149,3,23.891429484015312,0
42,-0.14257214927704448,-0.022962178919052778,0.028568418140943703,5,40.555289181526184,0
43,0.14327563837825302,0.022655171325511037,0.004761927359199752,4,32.25830342628504,0
44,-0.022774748355165464,0.020548093864017014,0.04780743296623705,1,7.216316721242542,1
45,-0.0018693017512204924,0.17578879451900398,0.0443822002817488,1,7.219215915123118,1
46,0.11934429053858736,-0.14201357578892396,0.007911857417489915,0,1.1106755554915793,1
47,0.017351678823594285,0.1188409599105743,0.03524000882891436,3,23.901433491671053,0
48,-0.034121508554169955,-0.12969433158919355,0.009234802827783646,2,15.554182686696453,1
49,-0.19477576727933457,-0.026779226692835223,0.002492627670278108,0,1.152877788685547,1
50,0.1497337775773605,-0.24466215020469398,0.029135409048595892,2,15.578186703363196,1
