test_id,obj_idx,success,pre_grip_x,pre_grip_y,pre_grip_z,lift_x,lift_y,lift_z,post_grip_x,post_grip_y,post_grip_z,displacement_mm,error_mm
1,0,1,-0.014647890772212284,0.18414118769313423,0.284560738830959,0.1031260766784988,0.19370366276105308,0.3841959049762652,-0.1040148951791948,-0.13941142619733768,0.53001590391963,624.3419230649823,285.22355509421857
2,1,1,-0.16447222968873304,0.0797838931594238,0.35828756935107564,-0.16276600880044528,0.052147893317966605,0.38555507416467094,0.04662330929177388,-0.18218334450640042,0.9100309655335359,916.6899006377881,504.2640924815092
3,2,1,-0.013017032603356127,0.21409516101836457,0.30754942889445497,0.06712307268562037,0.21673777445714396,0.43701982471964657,-0.10876331974249512,-0.18746769825908705,0.5369626444029683,700.4233845003607,337.2549359440664
4,3,1,-0.05500141393692146,0.17705805395318647,0.3128353442241463,0.07456082133226086,0.19097809147285377,0.35789588481648027,-0.07256283725933162,-0.12270558762469479,0.5648024564088383,608.3073271842264,259.4436691697762
5,0,1,-0.014649467465751097,0.184139596830376,0.2845588613135259,0.10312382882866898,0.19370507181572774,0.38419291141103473,-0.10421281538653043,-0.13706991230196594,0.5332620275586332,626.5141080210094,285.22410368057473
6,1,1,-0.16447222968873304,0.0797838931594238,0.35828756935107564,-0.16276600880049472,0.05214789331803483,0.3855550741647109,0.04662428152041397,-0.18218312368056647,0.9100312512559365,916.689880032879,504.2640924815843
7,2,1,-0.013017032603356127,0.21409516101836457,0.30754942889445497,0.0671230726858979,0.21673777445707607,0.4370198247189949,-0.10876212814034573,-0.1874662069397594,0.5369635174377212,700.4227452724647,337.2549359434569
8,3,1,-0.05500141393692146,0.17705805395318647,0.3128353442241463,0.07456082133225071,0.19097809147293418,0.3578958848164779,-0.0725622103591199,-0.12270393433705612,0.5648035136947855,608.3076336369472,259.44366916983915
9,0,1,-0.014649467465751097,0.184139596830376,0.2845588613135259,0.10312382882866898,0.19370507181572774,0.38419291141103473,-0.10421281538653043,-0.13706991230196594,0.5332620275586332,626.5141080210094,285.22410368057473
10,1,1,-0.16447222968873304,0.0797838931594238,0.35828756935107564,-0.16276600835871835,0.05214789307658056,0.3855550738487455,0.04728258733970049,-0.18131869765689396,0.9083848083691572,914.8402006069883,504.264091918552
