test_id,obj_idx,obj_name,success,displacement_mm,grasp_x,grasp_y,grasp_z,place_x,place_y,place_z
1,0,红色物体,1,0.0,0.25,-0.15,0.36,0.45,-0.15,0.36
1,1,绿色物体,1,0.0,0.35,-0.15,0.36,0.45,0.0,0.36
1,2,蓝色物体,1,0.0,0.25,0.15,0.36,0.45,0.15,0.36
1,3,黄色物体,1,0.0,0.35,0.15,0.36,0.35,0.0,0.36
2,0,红色物体,1,0.0,0.25,-0.15,0.36,0.45,-0.15,0.36
2,1,绿色物体,1,0.0,0.35,-0.15,0.36,0.45,0.0,0.36
2,2,蓝色物体,1,0.0,0.25,0.15,0.36,0.45,0.15,0.36
2,3,黄色物体,1,0.0,0.35,0.15,0.36,0.35,0.0,0.36
3,0,红色物体,1,0.0,0.25,-0.15,0.36,0.45,-0.15,0.36
3,1,绿色物体,1,0.0,0.35,-0.15,0.36,0.45,0.0,0.36
3,2,蓝色物体,1,0.0,0.25,0.15,0.36,0.45,0.15,0.36
3,3,黄色物体,1,0.0,0.35,0.15,0.36,0.35,0.0,0.36
4,0,红色物体,1,0.0,0.25,-0.15,0.36,0.45,-0.15,0.36
4,1,绿色物体,1,0.0,0.35,-0.15,0.36,0.45,0.0,0.36
4,2,蓝色物体,1,0.0,0.25,0.15,0.36,0.45,0.15,0.36
4,3,黄色物体,1,0.0,0.35,0.15,0.36,0.35,0.0,0.36
5,0,红色物体,1,0.0,0.25,-0.15,0.36,0.45,-0.15,0.36
5,1,绿色物体,1,0.0,0.35,-0.15,0.36,0.45,0.0,0.36
5,2,蓝色物体,1,0.0,0.25,0.15,0.36,0.45,0.15,0.36
5,3,黄色物体,1,0.0,0.35,0.15,0.36,0.35,0.0,0.36
